PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
08Fe8,r2qkb1r/ppp3pp/5n2/3p1b2/3Q4/1BP5/PP3PPP/RNB2RK1 b kq - 2 10,c7c5 d4e5 f8e7 e5f5,1829,76,93,2254,advantage fork opening short,https://lichess.org/SDsw3RMN/black#20,Italian_Game Italian_Game_Other_variations
08FiC,r2b2k1/p4prp/2b5/3R4/1q6/1P3QP1/P1P3BP/1N1R3K b - - 0 25,c6d5 f3d5 a8b8 d5d8 b8d8 d1d8,1075,77,95,2388,crushing long master middlegame,https://lichess.org/LjvpaQgi/black#50,
08Flr,5k2/5P2/6P1/1p6/8/7P/8/6K1 w - - 0 55,h3h4 b5b4 g1f2 b4b3 h4h5 b3b2 h5h6 b2b1q,1326,79,71,88,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/wGszBavV#109,
08Fo5,8/5bp1/6kp/5P2/6PK/4B3/8/8 b - - 0 40,g6f6 e3d4 f6e7 d4g7,1432,76,93,4215,bishopEndgame crushing deflection endgame short skewer,https://lichess.org/ujHprFlB/black#80,
08Fpi,r4rk1/p2q2pp/1p1b4/2pPpp2/4R3/1P1Q1N1P/P1P2PP1/3R2K1 w - - 0 26,f3e5 f5e4 e5d7 e4d3,1541,76,86,939,crushing middlegame short,https://lichess.org/3xNovBkp#51,
08Fup,r4rk1/4n2p/5pPB/p3n3/Ppb4Q/8/1qB2RPP/2R3K1 b - - 0 26,e7g6 c2g6 b2c1 h6c1,1662,74,93,837,crushing middlegame short,https://lichess.org/7wpqcYJy/black#52,
08FwF,r5k1/1ppq1ppp/pn5B/4bR2/6Q1/1PPP3P/1P3PPK/RN2r3 w - - 9 18,f5e5 d7g4 h3g4 e1e5,1789,84,82,37,advantage intermezzo middlegame short,https://lichess.org/Koch8w87#35,Italian_Game Italian_Game_Two_Knights_Defense
08Fxo,r4r1k/5p1p/2p2p1Q/p3pN2/p3p3/2P2q2/PP3PRP/7K b - - 1 22,f3f5 h6g7,1103,187,82,19,endgame mate mateIn1 oneMove,https://lichess.org/VWL2o9TY/black#44,
08G86,8/p5p1/4p3/3pP2p/5PkP/K1P3P1/8/8 b - - 0 42,g4g3 f4f5 e6f5 e5e6 f5f4 e6e7,1365,76,94,86,advancedPawn crushing endgame long master pawnEndgame,https://lichess.org/vD4abjzK/black#84,
08GDa,r1bqk1nr/pp1p1pbp/2n1p1p1/1N4N1/2B1P3/8/PP3PPP/R1BQK2R b KQkq - 1 8,h7h6 b5d6 e8f8 g5f7,1871,76,94,4067,crushing opening short,https://lichess.org/WguKEfcQ/black#16,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Accepted
08GI8,4Q1k1/6b1/3pb3/2n1p1pB/1pP2p2/1P3N1P/5qP1/7K b - - 13 40,g8h7 f3g5 h7h6 e8g6,1651,75,100,210,mate mateIn2 middlegame short,https://lichess.org/Rf6f70mB/black#80,
08GJV,r4rk1/pp3pp1/2p2n2/3p3p/5P1q/2P1PQNb/PPB2P1P/R3R1K1 b - - 2 19,f6g4 g3f5 h4f2 f3f2,1399,74,86,270,advantage middlegame short,https://lichess.org/4OupKF5T/black#38,Queens_Pawn_Game Queens_Pawn_Game_Colle_System
08GS6,5r1k/1p2pQ1n/p2p4/5P2/6PP/1Bq5/P1P5/2K4R w - - 1 26,f7e7 c3a1 c1d2 a1h1,1064,82,93,348,advantage endgame short skewer,https://lichess.org/8h6iUw0h#51,
08GSQ,8/p1p1k1p1/5p2/2P5/7Q/6P1/Pq2rP1P/3R2K1 b - - 1 30,e2f2 h4e4 b2e5 e4e5 f6e5 g1f2,1496,74,92,2189,crushing endgame long,https://lichess.org/4i2po4Fa/black#60,
08GWF,r1b2r1k/1p3p1p/pqp1pP2/8/4B1Q1/2P3P1/P1P4P/R3b2K b - - 0 18,b6f2 g4g7,938,77,100,179,mate mateIn1 middlegame oneMove,https://lichess.org/cKfj962N/black#36,Sicilian_Defense Sicilian_Defense_Kan_Variation
08GZm,3r4/1k5p/p3Pqp1/3p4/PppN1r2/6P1/3Q1P1P/3R2K1 b - - 0 42,c4c3 d2f4 f6f4 g3f4,1171,79,80,115,advantage endgame short,https://lichess.org/X73v079Q/black#84,
08Gba,2r3k1/3n1pp1/q4n1p/1p1p1p2/3B1Q2/Pp1PP1P1/5PBP/1R4K1 w - - 0 27,f4f5 a6a3 g2d5 c8c1 b1c1 a3c1 g1g2 b3b2 d4b2 c1b2,2050,75,91,924,advancedPawn crushing middlegame veryLong,https://lichess.org/iATPun9B#53,
